Title,Artist,Genre,Plays,,,Genre,Frequency
Golden,HUNTR/X EJAE AUDREY NUNA REI AMI KPop Demon Hunters Cast,K-Pop,1829129,,,K-Pop,9
Your Idol,Saja Boys Andrew Choi Neckwav Danny Chung Kevin Woo samUIL Lee KPop Demon Hunters Cast,K-Pop,1475763,,,Alternative/Indie,?
DAISIES,Justin Bieber,Pop,1220482,,,Pop,?
How It's Done,HUNTR/X EJAE AUDREY NUNA REI AMI KPop Demon Hunters Cast,K-Pop,1186275,,,R&B/Soul,?
Soda Pop,Saja Boys Andrew Choi Neckwav Danny Chung Kevin Woo samUIL Lee KPop Demon Hunters Cast,K-Pop,1186275,,,Hip Hop/Rap,?
back to friends,sombr,Alternative/Indie,1083763,,,Rock,?
Ordinary,Alex Warren,Pop,1028076,,,Country,?
What It Sounds Like,HUNTR/X EJAE AUDREY NUNA REI AMI KPop Demon Hunters Cast,K-Pop,1016787,,,Metal,?
Takedown,HUNTR/X EJAE AUDREY NUNA REI AMI KPop Demon Hunters Cast,K-Pop,932997,,,,
Free,Rumi Jinu EJAE Andrew Choi KPop Demon Hunters Cast,K-Pop,929288,,,,
Love Me Not,Ravyn Lenae,R&B/Soul,916955,,,,
What I Want (feat. Tate McRae),Morgan Wallen Tate McRae,Country,834635,,,,
I Got Better,Morgan Wallen,Country,802936,,,,
Dreams-2004 Remaster,Fleetwood Mac,Rock,790872,,,,
undressed,sombr,Alternative/Indie,762438,,,,
Ring Ring Ring,Tyler The Creator,Hip Hop/Rap,758274,,,,
No One Noticed,The Marias,Alternative/Indie,728225,,,,
Manchild,Sabrina Carpenter,Pop,725867,,,,
BIRDS OF A FEATHER,Billie Eilish,Pop,724409,,,,
YUKON,Justin Bieber,Pop,713164,,,,
Iris,The Goo Goo Dolls,Rock,712469,,,,
Eternity,Alex Warren,Pop,707651,,,,
Just In Case,Morgan Wallen,Country,705677,,,,
luther (with sza),Kendrick Lamar SZA,Hip Hop/Rap,693891,,,,
Sugar On My Tongue,Tyler The Creator,Hip Hop/Rap,691208,,,,
Which One (feat.Central Cee),Drake Central Cee,Hip Hop/Rap,687372,,,,
Pink Pony Club,Chappell Roan,Pop,679157,,,,
I'm The Problem,Morgan Wallen,Country,675854,,,,
Mystical Magical,Benson Boone,Alternative/Indie,664072,,,,
Beautiful Things,Benson Boone,Alternative/Indie,664072,,,,
Just Keep Watching (From F1 The Movie),Tate McRae F1 The Album,Pop,654506,,,,
Paranoid-2012-Remastered,Black Sabbath,Metal,646389,,,,
I Had Some Help (Feat. Morgan Wallen),Post Malone Morgan Wallen,Country,642389,,,,
Timeless (feat Playboi Carti),The Weeknd Playboi Carti,R&B/Soul,640012,,,,
Too Sweet,Hozier,Alternative/Indie,639429,,,,
Die With A Smile,Lady Gaga Bruno Mars,Pop,637373,,,,
Sailor Song,Gigi Perez,Alternative/Indie,615004,,,,
Creep,Radiohead,Rock,611090,,,,
Lose Control,Teddy Swims,Pop,607147,,,,
I Remember Everything (feat Kacey Musgraves),Zach Bryan Kacey Musgraves,Country,595189,,,,
A Bar Song (Tipsy),Shaboozey,Country,595064,,,,
Sparks,Coldplay,Alternative/Indie,593493,,,,
NOKIA,Drake,Hip Hop/Rap,573967,,,,
Worst Way,Riley Green,Country,541076,,,,
Crazy Train,Ozzy Osbourne,Metal,536094,,,,
JUMP ,BLACKPINK,K-Pop,535212,,,,
See You Again (feat Kali Uchis),Tyler The Creator Kali Uchis,Hip Hop/Rap,533200,,,,
I'll Take Care of You (feat Yebba),Tyler The Creator Yebba,Hip Hop/Rap,532284,,,,
505,Arctic Monkeys,Alternative/Indie,530261,,,,
TAKEDOWN (JEONGYEON JIHYO CHAEYOUNG) (from the Netflix film KPop Demon Hunters),TWICE,K-Pop,528777,,,,